avg_wait,renege_rate,staffing_cost,avg_tellers,served,total_cost
3202.225,43.5,94.5,1.89,451,16105.625
2515.5833333333335,44.0,178.5,3.57,714,12756.416666666668
6.435,8.700000000000001,488.5,9.77,1250,520.675
0.0,0.0,488.0,9.76,1077,488.0
0.0,0.0,489.5,9.79,1069,489.5
3.105,5.7,489.5,9.79,1127,505.025
2.67,4.8,489.5,9.79,1066,502.85
13.41,15.0,489.5,9.79,1303,556.55
11.4,14.400000000000002,489.5,9.79,1293,546.5
9.66,13.200000000000001,489.5,9.79,1290,537.8
24.225,16.0,489.5,9.79,1301,610.625
0.0,0.0,489.0,9.78,1090,489.0
2.01,4.3,489.5,9.79,1081,499.55
3.375,4.8,488.5,9.77,1099,505.375
0.0,0.0,489.5,9.79,1105,489.5
11.1,13.8,489.5,9.79,1283,545.0
4.305,5.5,489.5,9.79,1099,511.025
20.833333333333336,15.9,489.0,9.78,1258,593.1666666666667
11.13,13.799999999999999,489.5,9.79,1276,545.15
14.07,13.799999999999999,489.0,9.78,1245,559.35
1.7325,4.3500000000000005,489.5,9.79,1089,498.1625
2.505,4.9,489.5,9.79,1098,502.025
4.515,6.0,489.0,9.78,1064,511.575
5.055,7.6,489.5,9.79,1279,514.775
7.035,11.7,488.0,9.76,1314,523.175
0.105,0.7000000000000001,484.0,9.68,1064,484.525
0.0,0.0,489.0,9.78,1299,489.0
0.0,0.0,471.0,9.42,1094,471.0
0.0,0.0,480.0,9.6,1066,480.0
0.045,0.30000000000000004,466.5,9.33,1102,466.725
0.0,0.0,478.5,9.57,1102,478.5
0.0,0.0,479.5,9.59,1066,479.5
0.0,0.0,461.5,9.23,1123,461.5
0.0,0.0,472.5,9.45,1268,472.5
0.0,0.0,481.5,9.63,1092,481.5
0.0,0.0,460.5,9.21,1043,460.5
0.0,0.0,461.5,9.23,1104,461.5
0.0,0.0,466.0,9.32,1122,466.0
0.0,0.0,457.0,9.14,1081,457.0
0.0,0.0,449.5,8.99,1052,449.5
0.0,0.0,461.0,9.22,1077,461.0
0.0,0.0,442.5,8.85,1110,442.5
0.0,0.0,486.0,9.72,1082,486.0
0.0,0.0,440.5,8.81,1071,440.5
0.0,0.0,454.5,9.09,1278,454.5
0.0,0.0,438.5,8.77,1075,438.5
0.0,0.0,444.0,8.88,1087,444.0
0.0,0.0,440.5,8.81,1262,440.5
0.08571428571428572,0.5,400.5,8.01,1343,400.92857142857144
0.02142857142857143,0.14285714285714285,424.0,8.48,1083,424.10714285714283
0.0,0.0,302.0,6.04,1109,302.0
0.0,0.0,440.0,8.8,1066,440.0
0.0,0.0,315.0,6.3,1073,315.0
1.95,4.166666666666667,385.5,7.71,1273,395.25
0.4830357142857143,1.5,387.0,7.74,1088,389.41517857142856
0.0,0.0,262.5,5.25,1066,262.5
0.0,0.0,229.0,4.58,1083,229.0
5.17125,6.5,400.0,8.0,1105,425.85625
0.3335714285714285,1.7000000000000002,381.0,7.62,1262,382.66785714285714
0.02142857142857143,0.14285714285714285,394.0,7.88,1107,394.10714285714283
0.0,0.0,371.5,7.43,1072,371.5
129.18517857142857,32.4,276.5,5.53,1285,922.4258928571428
0.0,0.0,454.5,9.09,1299,454.5
0.07767857142857143,0.5178571428571428,425.0,8.5,1135,425.38839285714283
0.0,0.0,340.0,6.8,1095,340.0
2.4555357142857144,6.5,403.5,8.07,1057,415.77767857142857
0.4269047619047619,2.2222222222222223,407.0,8.14,1308,409.1345238095238
0.13,0.8666666666666666,345.0,6.9,1117,345.65
0.17142857142857143,0.6428571428571428,439.0,8.78,1100,439.85714285714283
0.13035714285714284,0.8690476190476191,366.0,7.32,1268,366.6517857142857
0.36625,1.775,407.5,8.15,1061,409.33125
18.03559523809524,15.1,390.0,7.8,1330,480.1779761904762
0.24464285714285716,1.3928571428571428,429.5,8.59,1101,430.7232142857143
0.05,0.3333333333333333,388.5,7.77,1097,388.75
0.0,0.0,428.0,8.56,1099,428.0
0.02142857142857143,0.14285714285714285,421.5,8.43,1324,421.60714285714283
0.0,0.0,409.0,8.18,1109,409.0
0.0,0.0,418.0,8.36,1093,418.0
0.0,0.0,437.5,8.75,1074,437.5
0.0,0.0,468.0,9.36,1291,468.0
0.0,0.0,421.5,8.43,1074,421.5
0.0,0.0,459.0,9.18,1290,459.0
0.0,0.0,437.5,8.75,1128,437.5
7.698809523809524,7.333333333333333,405.5,8.11,1276,443.9940476190476
0.5581547619047619,2.8055555555555554,383.5,7.67,1276,386.2907738095238
0.0,0.0,412.5,8.25,1287,412.5
123.74636904761904,25.5,281.5,5.63,1301,900.2318452380952
0.05,0.3333333333333333,437.0,8.74,1245,437.25
0.0,0.0,447.5,8.95,1114,447.5
3.725892857142857,5.5,412.0,8.24,1079,430.6294642857143
0.1,0.5,486.0,9.72,1083,486.5
0.0,0.0,431.0,8.62,1287,431.0
0.0,0.0,444.5,8.89,1069,444.5
0.0,0.0,429.5,8.59,1104,429.5
0.0,0.0,470.5,9.41,1286,470.5
0.0,0.0,469.0,9.38,1282,469.0
0.0,0.0,489.0,9.78,1113,489.0
0.0,0.0,476.5,9.53,1120,476.5
0.0,0.0,378.5,7.57,1280,378.5
0.0,0.0,473.5,9.47,1093,473.5
0.0,0.0,483.0,9.66,1053,483.0
0.0,0.0,478.5,9.57,1080,478.5
0.1,0.6666666666666666,416.5,8.33,1083,417.0
9.523392857142857,7.5,392.0,7.84,1285,439.6169642857143
0.24732142857142855,1.648809523809524,365.0,7.3,1112,366.23660714285717
58.227976190476184,14.000000000000002,363.0,7.26,1095,654.139880952381
4.776428571428571,7.000000000000001,401.5,8.03,1293,425.38214285714287
0.3,1.0,237.0,4.74,1102,238.5
226.62125,30.833333333333336,289.5,5.79,1236,1422.60625
0.0,0.0,381.0,7.62,1285,381.0
0.0,0.0,445.0,8.9,1082,445.0
0.0,0.0,480.5,9.61,1115,480.5
0.0,0.0,476.5,9.53,1101,476.5
0.29428571428571426,1.961904761904762,399.5,7.99,1074,400.9714285714286
0.0,0.0,435.0,8.7,1111,435.0
0.0,0.0,406.0,8.12,1089,406.0
0.12142857142857143,0.8095238095238094,392.0,7.84,1257,392.60714285714283
0.0,0.0,453.0,9.06,1270,453.0
0.0,0.0,457.5,9.15,1119,457.5
0.0,0.0,459.5,9.19,1093,459.5
0.09285714285714285,0.6190476190476191,400.5,8.01,1100,400.9642857142857
0.0,0.0,434.0,8.68,1101,434.0
0.025,0.16666666666666666,410.0,8.2,1106,410.125
0.0,0.0,424.5,8.49,1065,424.5
2.3525,6.0,420.5,8.41,1087,432.2625
0.0,0.0,374.5,7.49,1289,374.5
0.0,0.0,480.0,9.6,1070,480.0
0.0,0.0,447.5,8.95,1068,447.5
0.1,0.5,446.5,8.93,1268,447.0
0.0,0.0,479.5,9.59,1084,479.5
0.0,0.0,489.5,9.79,1280,489.5
0.0,0.0,479.5,9.59,1120,479.5
0.0,0.0,480.0,9.6,1082,480.0
0.0,0.0,463.0,9.26,1284,463.0
0.0,0.0,454.0,9.08,1261,454.0
0.0,0.0,473.5,9.47,1106,473.5
0.0,0.0,479.5,9.59,1310,479.5
0.0,0.0,474.5,9.49,1320,474.5
0.0,0.0,478.5,9.57,1283,478.5
0.0,0.0,487.5,9.75,1279,487.5
0.0,0.0,477.0,9.54,1297,477.0
0.0,0.0,412.0,8.24,1079,412.0
0.0,0.0,424.0,8.48,1099,424.0
0.0,0.0,421.5,8.43,1086,421.5
0.0,0.0,410.0,8.2,1088,410.0
0.0,0.0,381.0,7.62,1098,381.0
0.0,0.0,369.0,7.38,1120,369.0
0.15,0.5,395.0,7.9,1077,395.75
0.125,0.8333333333333334,308.0,6.16,1115,308.625
0.0,0.0,478.0,9.56,1275,478.0
0.0,0.0,363.5,7.27,1086,363.5
0.0,0.0,368.5,7.37,1094,368.5
0.1,0.5,370.5,7.41,1076,371.0
0.06785714285714285,0.4523809523809524,372.5,7.45,1276,372.8392857142857
0.05,0.3333333333333333,315.0,6.3,1087,315.25
0.8125,3.25,244.5,4.89,1122,248.5625
0.0,0.0,423.5,8.47,1082,423.5
0.175,1.0,369.0,7.38,1109,369.875
0.3714285714285714,0.9761904761904762,354.0,7.08,1315,355.85714285714283
3.075,5.083333333333334,281.5,5.63,1050,296.875
1.9407738095238094,5.069444444444445,317.5,6.35,1276,327.20386904761904
21.512797619047618,14.899999999999999,383.5,7.67,1249,491.0639880952381
0.0,0.0,383.0,7.66,1147,383.0
