avg_wait,renege_rate,staffing_cost,avg_tellers,served,total_cost
2.85,4.933333333333333,414.5,8.29,1092,428.75
1.915,4.3999999999999995,417.0,8.34,1092,426.575
280.0325,38.900000000000006,227.5,4.55,1174,1627.6625000000001
7.3175,17.866666666666664,227.0,4.54,1077,263.5875
10.1575,24.299999999999997,224.5,4.49,1069,275.2875
2.76,5.133333333333333,422.5,8.45,1127,436.3
0.9675,4.433333333333333,419.5,8.39,1066,424.3375
1.555,4.533333333333332,421.5,8.43,1303,429.275
2.1275,3.833333333333333,420.5,8.41,1293,431.1375
389.64,42.83333333333333,228.0,4.56,1173,2176.2
178.3325,36.900000000000006,257.5,5.15,1301,1149.1625
7.2975,14.533333333333331,254.0,5.08,1090,290.4875
0.5,2.1666666666666665,420.0,8.4,1081,422.5
3.3975,6.2333333333333325,424.5,8.49,1099,441.4875
6.765,18.599999999999998,231.0,4.62,1105,264.825
0.5825,3.6166666666666667,421.0,8.42,1283,423.9125
1.105,3.7000000000000006,423.0,8.46,1099,428.525
378.8225,43.5,220.0,4.4,1128,2114.1125
4.1575,6.833333333333331,414.5,8.29,1276,435.2875
279.22,42.81666666666666,225.0,4.5,1165,1621.1000000000001
1.5825,4.166666666666666,421.5,8.43,1089,429.4125
1.77,4.333333333333333,420.5,8.41,1098,429.35
2.2025,6.266666666666667,420.0,8.4,1064,431.0125
3.42,5.0,420.5,8.41,1279,437.6
3.6425,5.766666666666667,420.5,8.41,1314,438.7125
1.045,4.133333333333333,420.0,8.4,1064,425.225
3.0825,6.133333333333333,425.0,8.5,1299,440.4125
0.2175,0.95,421.5,8.43,1094,422.5875
8.5825,20.83333333333333,225.0,4.5,1066,267.9125
0.9375,4.166666666666667,419.5,8.39,1102,424.1875
3.4725,5.533333333333333,424.5,8.49,1102,441.8625
1.455,3.166666666666666,418.0,8.36,1066,425.275
4.42,7.433333333333332,418.5,8.37,1123,440.6
2.1075,4.3999999999999995,417.0,8.34,1268,427.5375
5.446428571428571,10.295238095238094,412.5,8.25,1092,439.73214285714283
11.155,21.533333333333328,222.5,4.45,1043,278.275
2.3225,5.5,420.5,8.41,1104,432.1125
1.2575,3.6666666666666665,419.0,8.38,1122,425.2875
0.355,2.2,421.0,8.42,1081,422.775
3.435,4.7,417.0,8.34,1052,434.175
1.515,4.833333333333333,418.0,8.36,1077,425.575
3.62,7.666666666666666,417.5,8.35,1110,435.6
1.3,2.833333333333333,423.0,8.46,1082,429.5
1.9125,3.6000000000000005,417.0,8.34,1071,426.5625
1.5375,2.833333333333333,417.5,8.35,1278,425.1875
1.51,5.733333333333333,423.0,8.46,1075,430.55
1.3625,4.166666666666666,423.0,8.46,1087,429.8125
0.7475,3.2333333333333334,420.0,8.4,1262,423.7375
4.375,8.8,423.5,8.47,1343,445.375
1.12,3.0,419.5,8.39,1083,425.1
7.98,17.166666666666664,252.0,5.04,1109,291.9
2.1775,4.0,420.5,8.41,1066,431.3875
12.5875,14.000000000000002,262.5,5.25,1073,325.4375
1.7525,5.6,417.5,8.35,1273,426.2625
3.4575,7.233333333333333,424.5,8.49,1088,441.7875
5.5925,15.099999999999996,231.0,4.62,1066,258.9625
4.3375,6.333333333333332,266.0,5.32,1083,287.6875
