avg_wait,renege_rate,staffing_cost,avg_tellers,served,total_cost
1632.6338095238095,45.5,212.5,4.25,900,8375.669047619049
705.3563690476188,43.0,256.0,5.12,1087,3782.7818452380943
16.83,15.4,489.0,9.78,1250,573.15
0.0,0.0,489.5,9.79,1077,489.5
0.0,0.0,489.5,9.79,1069,489.5
3.105,5.7,484.0,9.68,1127,499.525
2.67,4.8,489.5,9.79,1066,502.85
13.41,15.0,489.5,9.79,1303,556.55
11.4,14.400000000000002,489.5,9.79,1293,546.5
9.66,13.200000000000001,489.0,9.78,1290,537.3
25.196666666666665,16.0,489.0,9.78,1301,614.9833333333333
0.0,0.0,489.5,9.79,1090,489.5
2.01,4.3,486.5,9.73,1081,496.55
0.045,0.30000000000000004,476.0,9.52,1099,476.225
0.13035714285714284,0.8690476190476191,419.0,8.38,1105,419.6517857142857
10.589166666666666,14.411111111111111,418.5,8.37,1283,471.4458333333333
0.0,0.0,457.0,9.14,1099,457.0
0.0,0.0,417.5,8.35,1258,417.5
0.05,0.3333333333333333,445.0,8.9,1276,445.25
0.0,0.0,469.0,9.38,1245,469.0
1.7325,4.3500000000000005,470.0,9.4,1089,478.6625
2.505,4.9,453.5,9.07,1098,466.025
4.515,6.0,459.0,9.18,1064,481.575
0.0,0.0,448.5,8.97,1279,448.5
0.0,0.0,464.5,9.29,1314,464.5
0.0,0.0,457.5,9.15,1064,457.5
0.0,0.0,448.0,8.96,1299,448.0
0.0,0.0,443.0,8.86,1094,443.0
0.0,0.0,387.0,7.74,1066,387.0
0.0,0.0,464.5,9.29,1102,464.5
0.0,0.0,446.0,8.92,1102,446.0
0.0,0.0,443.0,8.86,1066,443.0
0.0,0.0,449.0,8.98,1123,449.0
0.0,0.0,457.0,9.14,1268,457.0
0.0,0.0,443.5,8.87,1092,443.5
0.0,0.0,320.5,6.41,1043,320.5
0.0,0.0,456.5,9.13,1104,456.5
0.0,0.0,438.0,8.76,1122,438.0
0.0,0.0,347.5,6.95,1081,347.5
0.0,0.0,425.5,8.51,1052,425.5
0.0,0.0,377.0,7.54,1077,377.0
0.01875,0.125,421.0,8.42,1110,421.09375
0.0,0.0,427.5,8.55,1082,427.5
0.0,0.0,406.5,8.13,1071,406.5
0.02142857142857143,0.14285714285714285,382.5,7.65,1278,382.60714285714283
0.02142857142857143,0.14285714285714285,394.0,7.88,1075,394.10714285714283
0.0,0.0,429.0,8.58,1087,429.0
0.0,0.0,387.0,7.74,1262,387.0
0.6617261904761905,2.933333333333333,419.5,8.39,1343,422.80863095238095
0.2573809523809524,1.6444444444444442,370.0,7.4,1083,371.28690476190474
0.0375,0.25,237.0,4.74,1109,237.1875
0.0,0.0,421.5,8.43,1066,421.5
0.0,0.0,298.5,5.97,1073,298.5
0.10714285714285715,0.5,351.5,7.03,1273,352.0357142857143
0.4830357142857143,1.5,380.5,7.61,1088,382.91517857142856
0.0,0.0,230.5,4.61,1066,230.5
0.0375,0.25,253.5,5.07,1083,253.6875
0.10803571428571428,0.7202380952380952,404.5,8.09,1105,405.04017857142856
3.9639880952380953,7.000000000000001,409.5,8.19,1262,429.3199404761905
0.11160714285714285,0.7440476190476191,385.5,7.71,1107,386.0580357142857
0.0,0.0,357.0,7.14,1072,357.0
1.4541071428571428,5.0,373.5,7.47,1285,380.7705357142857
3.737916666666666,6.2,411.5,8.23,1299,430.1895833333333
0.12767857142857142,0.8511904761904763,363.0,7.26,1135,363.63839285714283
0.2482142857142857,1.583333333333333,352.5,7.05,1095,353.74107142857144
2.4555357142857144,6.5,414.5,8.29,1057,426.77767857142857
0.634345238095238,2.5,400.0,8.0,1308,403.1717261904762
0.0,0.0,440.0,8.8,1117,440.0
3.5283333333333333,5.9222222222222225,441.5,8.83,1100,459.14166666666665
0.08035714285714285,0.5357142857142857,385.0,7.7,1268,385.4017857142857
0.0,0.0,472.0,9.44,1061,472.0
0.0,0.0,479.5,9.59,1330,479.5
0.2642857142857143,1.5952380952380951,408.5,8.17,1101,409.82142857142856
0.05,0.3333333333333333,416.5,8.33,1097,416.75
0.0,0.0,461.0,9.22,1099,461.0
0.0,0.0,476.5,9.53,1324,476.5
0.0,0.0,482.5,9.65,1109,482.5
0.0,0.0,479.0,9.58,1093,479.0
0.0,0.0,487.5,9.75,1074,487.5
3.33,5.699999999999999,489.5,9.79,1291,506.15
2.88,4.8,489.5,9.79,1074,503.9
7.8,11.9,489.5,9.79,1290,528.5
0.0,0.0,487.0,9.74,1128,487.0
5.325059523809524,6.3,427.0,8.54,1276,453.6252976190476
5.205,7.400000000000001,489.5,9.79,1276,515.525
7.795,12.6,489.0,9.78,1287,527.975
11.55,12.4,489.5,9.79,1301,547.25
7.26,11.6,489.5,9.79,1245,525.8
0.0,0.0,482.5,9.65,1114,482.5
0.0,0.0,470.0,9.4,1079,470.0
0.0,0.0,254.5,5.09,1083,254.5
1.5911904761904763,4.8,412.5,8.25,1287,420.4559523809524
0.0375,0.25,219.5,4.39,1069,219.6875
1.839345238095238,6.2,403.5,8.07,1104,412.69672619047617
8.69625,13.275,431.0,8.62,1286,474.48125
0.28928571428571426,1.4285714285714286,307.0,6.14,1282,308.44642857142856
0.125,0.8333333333333334,234.0,4.68,1113,234.625
0.30357142857142855,1.5,401.5,8.03,1120,403.01785714285717
0.125,0.8333333333333334,349.5,6.99,1280,350.125
0.0,0.0,285.5,5.71,1093,285.5
0.2625,1.25,269.0,5.38,1053,270.3125
0.05,0.3333333333333333,425.5,8.51,1080,425.75
0.0,0.0,477.5,9.55,1083,477.5
382.09142857142854,36.83333333333333,294.0,5.88,1266,2204.4571428571426
0.0,0.0,466.5,9.33,1112,466.5
0.0,0.0,429.0,8.58,1095,429.0
0.0,0.0,481.5,9.63,1293,481.5
0.0,0.0,489.5,9.79,1102,489.5
2171.189226190476,30.0,288.0,5.76,786,11143.94613095238
15.805,14.800000000000002,489.0,9.78,1285,568.025
0.0,0.0,486.5,9.73,1082,486.5
0.28785714285714287,1.6190476190476188,350.5,7.01,1115,351.9392857142857
19.8575,9.483333333333333,253.5,5.07,1101,352.7875
239.675,37.33333333333333,188.0,3.76,1006,1386.375
3.7025,6.333333333333332,292.0,5.84,1111,310.5125
0.575,1.0,250.0,5.0,1089,252.875
4.013095238095238,6.833333333333333,411.0,8.22,1257,431.0654761904762
0.0,0.0,354.0,7.08,1270,354.0
0.0,0.0,252.0,5.04,1119,252.0
0.0875,0.5833333333333333,368.0,7.36,1093,368.4375
0.14642857142857144,0.6428571428571428,412.5,8.25,1100,413.23214285714283
0.0,0.0,485.0,9.7,1101,485.0
0.0,0.0,481.5,9.63,1106,481.5
0.0,0.0,468.5,9.37,1065,468.5
3.78,5.2,489.5,9.79,1087,508.4
22.035,15.7,489.5,9.79,1289,599.675
2.115,4.0,489.5,9.79,1070,500.075
2.5016666666666665,4.8999999999999995,489.0,9.78,1068,501.5083333333333
7.965,12.7,489.5,9.79,1268,529.325
4.71,5.8,489.5,9.79,1084,513.05
0.0,0.0,489.5,9.79,1280,489.5
0.0,0.0,489.5,9.79,1120,489.5
2.085,4.2,489.5,9.79,1082,499.925
17.31,14.700000000000003,489.5,9.79,1284,576.05
4.38,9.0,489.5,9.79,1261,511.4
2.715,4.9,489.5,9.79,1106,503.075
9.375,13.699999999999998,489.5,9.79,1310,536.375
27.045,17.5,489.5,9.79,1320,624.725
11.675,13.733333333333334,489.0,9.78,1283,547.375
10.995,13.699999999999998,489.0,9.78,1279,543.975
17.835,14.700000000000003,489.5,9.79,1297,578.675
0.0,0.0,489.5,9.79,1079,489.5
0.0,0.0,489.5,9.79,1099,489.5
0.0,0.0,450.0,9.0,1086,450.0
0.0,0.0,489.5,9.79,1088,489.5
0.0,0.0,489.5,9.79,1098,489.5
0.0,0.0,489.5,9.79,1120,489.5
0.15,0.5,489.0,9.78,1077,489.75
0.0,0.0,489.5,9.79,1115,489.5
9.435,12.7,489.5,9.79,1275,536.675
0.0,0.0,489.5,9.79,1086,489.5
3.675,5.2,489.5,9.79,1094,507.875
0.0,0.0,489.0,9.78,1076,489.0
21.81,16.0,488.0,9.76,1276,597.05
2.52,4.6000000000000005,489.5,9.79,1087,502.1
0.0,0.0,489.5,9.79,1122,489.5
0.0,0.0,489.0,9.78,1082,489.0
2.04,4.4,489.5,9.79,1109,499.7
24.315,16.4,489.5,9.79,1317,611.075
0.78,3.7000000000000006,489.5,9.79,1051,493.4
6.915,8.4,487.5,9.75,1276,522.075
15.57,13.700000000000001,489.5,9.79,1249,567.35
0.0,0.0,489.5,9.79,1147,489.5
0.0,0.0,489.5,9.79,1069,489.5
3.12,5.1,489.5,9.79,1091,505.1
0.0,0.0,487.5,9.75,1093,487.5
0.0,0.0,488.5,9.77,1084,488.5
0.0,0.0,489.5,9.79,1087,489.5
2.84,4.5,488.5,9.77,1075,502.7
0.0,0.0,489.5,9.79,1112,489.5
3.541666666666666,5.1,489.0,9.78,1105,506.7083333333333
2.76,5.0,489.5,9.79,1080,503.3
0.0,0.0,489.0,9.78,1083,489.0
0.0,0.0,489.5,9.79,1090,489.5
0.0,0.0,489.0,9.78,1096,489.0
0.0,0.0,489.5,9.79,1113,489.5
2.22,4.8999999999999995,486.0,9.72,1294,497.1
0.045,0.30000000000000004,489.5,9.79,1287,489.725
0.0,0.0,487.5,9.75,1103,487.5
0.0,0.0,489.0,9.78,1103,489.0
0.0,0.0,479.5,9.59,1085,479.5
0.0,0.0,489.5,9.79,1061,489.5
0.0,0.0,476.0,9.52,1089,476.0
0.0,0.0,476.5,9.53,1110,476.5
0.0,0.0,489.5,9.79,1059,489.5
0.0,0.0,444.0,8.88,1092,444.0
0.0,0.0,459.0,9.18,1070,459.0
0.0,0.0,472.0,9.44,1077,472.0
0.0,0.0,473.0,9.46,1106,473.0
0.0,0.0,489.5,9.79,1068,489.5
0.0,0.0,475.5,9.51,1074,475.5
0.0,0.0,489.5,9.79,1095,489.5
0.0,0.0,467.0,9.34,1336,467.0
0.0,0.0,411.0,8.22,1085,411.0
0.0,0.0,464.0,9.28,1084,464.0
0.0,0.0,390.0,7.8,1273,390.0
0.0,0.0,477.0,9.54,1304,477.0
0.0,0.0,477.0,9.54,1329,477.0
0.0,0.0,488.0,9.76,1118,488.0
0.0,0.0,488.0,9.76,1088,488.0
0.0,0.0,485.5,9.71,1273,485.5
0.0,0.0,489.0,9.78,1125,489.0
0.0,0.0,456.5,9.13,1280,456.5
0.0,0.0,428.5,8.57,1254,428.5
0.0,0.0,472.5,9.45,1111,472.5
0.0,0.0,460.0,9.2,1052,460.0
0.05,0.3333333333333333,420.0,8.4,1097,420.25
99.18851190476191,36.0,258.5,5.17,1048,754.4425595238096
0.45815476190476195,2.242857142857143,423.0,8.46,1311,425.2907738095238
0.0,0.0,432.0,8.64,1277,432.0
0.0,0.0,409.0,8.18,1119,409.0
0.11785714285714284,0.7857142857142858,403.5,8.07,1091,404.0892857142857
0.06785714285714285,0.4523809523809524,378.0,7.56,1092,378.3392857142857
0.0,0.0,424.5,8.49,1272,424.5
0.0,0.0,414.0,8.28,1098,414.0
0.325,1.3333333333333333,227.0,4.54,1079,228.625
172.2139285714286,32.0,250.5,5.01,1046,1111.569642857143
